policy,placement,sample,external_latency_ms,internal_chain_duration_ms,sla_violation,entry_url
static_vm1,vm1-vm1-vm1,1,763.3,380.39,true,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,2,584.82,235.0,false,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,3,535.37,221.35,false,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,4,722.5,213.16,true,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,5,558.86,217.86,false,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,6,649.62,211.28,false,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,7,526.59,212.46,false,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,8,616.97,215.59,false,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,9,534.09,216.96,false,http://f1.default.129.114.25.182.sslip.io
static_vm1,vm1-vm1-vm1,10,525.72,212.83,false,http://f1.default.129.114.25.182.sslip.io
static_vm2,vm2-vm2-vm2,1,697.38,376.49,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,2,514.91,203.57,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,3,533.45,217.48,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,4,724.67,207.28,true,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,5,537.33,223.39,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,6,633.73,211.94,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,7,523.94,209.36,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,8,512.16,196.6,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,9,594.52,197.65,false,http://f1.default.129.114.25.80.sslip.io
static_vm2,vm2-vm2-vm2,10,545.61,214.77,false,http://f1.default.129.114.25.80.sslip.io
intent_selected,vm1-vm1-vm1,1,681.14,362.05,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,2,538.61,223.97,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,3,511.64,198.51,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,4,699.37,211.61,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,5,541.78,227.93,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,6,765.65,210.38,true,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,7,533.63,217.33,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,8,594.4,215.34,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,9,571.37,217.43,false,http://f1.default.129.114.25.182.sslip.io
intent_selected,vm1-vm1-vm1,10,560.62,215.89,false,http://f1.default.129.114.25.182.sslip.io
